player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Nary",yPDDVTr-u6,2026-01-25T04:58:41.360Z,,5000,,11909,6909
"Abhi",3eq6PWL0fX,2026-01-25T04:25:47.614Z,,5000,,5180,180
"Spacecow",2o6UwnsCyU,2026-01-25T03:08:32.429Z,2026-01-25T04:11:33.575Z,3000,0,0,-3000
"ExplodingTree",ct7REDjsOY,2026-01-25T02:47:41.732Z,2026-01-25T06:49:45.663Z,3000,5761,0,2761
"shik loves cum",LxxSO_Q8Xm,2026-01-25T02:10:54.881Z,,5000,,5030,30
"Snowstorm",dLUVSEvjqU,2026-01-25T02:06:46.585Z,2026-01-25T05:40:33.212Z,5000,815,0,-4185
"Nary",yPDDVTr-u6,2026-01-25T02:06:46.582Z,2026-01-25T04:56:08.111Z,3000,0,0,-3000
"Bangcock",yA8s_xTBKa,2026-01-25T02:06:46.595Z,,5999,,4681,-1318
"hoot",dQNdpd1fEH,2026-01-25T02:06:46.598Z,,3000,,2889,-111
"🍷 K&LWineNYC",Gx6CTDK1-V,2026-01-25T02:06:46.591Z,,4000,,5734,1734
